State,Year,Type,GEO_ID,Geography_Name,County,Total_Households,Poverty_Households,ALICE_Households,Above_ALICE_Households,ACS_Source,Chapter,Region,Division,ECODE,RCODE,DCODE,FEMA_Region
Alabama,2023,Place,103076,"Auburn city, Alabama","Lee County, Alabama",32859,10283,6852,15724,1-Year,ARC serving Central East Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1216.0,01R04,D25,IV
Alabama,2023,Place,107000,"Birmingham city, Alabama","Jefferson County, Alabama",91740,20876,33875,36989,1-Year,ARC serving Mid Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1019.0,01R04,D25,IV
Alabama,2023,Place,121184,"Dothan city, Alabama","Houston County, Alabama",30920,6208,8567,16145,1-Year,ARC serving South Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1208.0,01R04,D25,IV
Alabama,2023,Place,137000,"Huntsville city, Alabama","Madison County, Alabama",99557,12147,29617,57793,1-Year,ARC serving North Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1192.0,01R04,D25,IV
Alabama,2023,Place,150000,"Mobile city, Alabama","Mobile County, Alabama",79383,13473,30452,35458,1-Year,ARC serving South Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1208.0,01R04,D25,IV
Alabama,2023,Place,151000,"Montgomery city, Alabama","Montgomery County, Alabama",82966,14872,24200,43894,1-Year,ARC serving Central East Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1216.0,01R04,D25,IV
Alabama,2023,Place,177256,"Tuscaloosa city, Alabama","Tuscaloosa County, Alabama",42870,12327,13365,17178,1-Year,ARC serving Central West Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1288.0,01R04,D25,IV
Alabama,2023,Place,100124,"Abbeville city, Alabama","Henry County, Alabama",998,231,393,374,5-Year,ARC serving South Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1208.0,01R04,D25,IV
Alabama,2023,Place,100460,"Adamsville city, Alabama","Jefferson County, Alabama",1775,333,520,922,5-Year,ARC serving Mid Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1019.0,01R04,D25,IV
Alabama,2023,Place,100484,"Addison town, Alabama","Winston County, Alabama",297,48,89,160,5-Year,ARC serving Central West Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1288.0,01R04,D25,IV
Alabama,2023,Place,100820,"Alabaster city, Alabama","Shelby County, Alabama",11929,726,3278,7925,5-Year,ARC serving Mid Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1019.0,01R04,D25,IV
Alabama,2023,Place,100988,"Albertville city, Alabama","Marshall County, Alabama",7555,1299,2430,3826,5-Year,ARC serving North Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1192.0,01R04,D25,IV
Alabama,2023,Place,101132,"Alexander City city, Alabama","Tallapoosa County, Alabama",6089,1286,2298,2505,5-Year,ARC serving Central East Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1216.0,01R04,D25,IV
Alabama,2023,Place,101180,"Alexandria CDP, Alabama","Calhoun County, Alabama",1341,84,348,909,5-Year,ARC serving Mid Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1019.0,01R04,D25,IV
Alabama,2023,Place,101228,"Aliceville city, Alabama","Pickens County, Alabama",857,326,301,230,5-Year,ARC serving Central West Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1288.0,01R04,D25,IV
Alabama,2023,Place,101396,"Allgood town, Alabama","Blount County, Alabama",181,32,49,100,5-Year,ARC serving Mid Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1019.0,01R04,D25,IV
Alabama,2023,Place,101660,"Altoona town, Alabama","Etowah County, Alabama",461,163,121,177,5-Year,ARC serving North Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1192.0,01R04,D25,IV
Alabama,2023,Place,101708,"Andalusia city, Alabama","Covington County, Alabama",3226,774,1031,1421,5-Year,ARC serving South Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1208.0,01R04,D25,IV
Alabama,2023,Place,101756,"Anderson town, Alabama","Lauderdale County, Alabama",141,6,30,105,5-Year,ARC serving North Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1192.0,01R04,D25,IV
Alabama,2023,Place,101852,"Anniston city, Alabama","Calhoun County, Alabama",9444,2149,3084,4211,5-Year,ARC serving Mid Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1019.0,01R04,D25,IV
Alabama,2023,Place,102116,"Arab city, Alabama","Marshall County, Alabama",3300,484,1061,1755,5-Year,ARC serving North Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1192.0,01R04,D25,IV
Alabama,2023,Place,102260,"Ardmore town, Alabama","Limestone County, Alabama",614,100,321,193,5-Year,ARC serving North Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1192.0,01R04,D25,IV
Alabama,2023,Place,102320,"Argo town, Alabama","St. Clair County, Alabama",1466,23,280,1163,5-Year,ARC serving Mid Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1019.0,01R04,D25,IV
Alabama,2023,Place,102428,"Ariton town, Alabama","Dale County, Alabama",223,59,72,92,5-Year,ARC serving South Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1208.0,01R04,D25,IV
Alabama,2023,Place,102500,"Arley town, Alabama","Winston County, Alabama",161,56,31,74,5-Year,ARC serving Central West Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1288.0,01R04,D25,IV
Alabama,2023,Place,102836,"Ashford town, Alabama","Houston County, Alabama",884,143,217,524,5-Year,ARC serving South Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1208.0,01R04,D25,IV
Alabama,2023,Place,102860,"Ashland town, Alabama","Clay County, Alabama",788,237,202,349,5-Year,ARC serving Mid Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1019.0,01R04,D25,IV
Alabama,2023,Place,102908,"Ashville city, Alabama","St. Clair County, Alabama",851,155,265,431,5-Year,ARC serving Mid Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1019.0,01R04,D25,IV
Alabama,2023,Place,102956,"Athens city, Alabama","Limestone County, Alabama",11166,1392,4032,5742,5-Year,ARC serving North Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1192.0,01R04,D25,IV
Alabama,2023,Place,103004,"Atmore city, Alabama","Escambia County, Alabama",2539,887,801,851,5-Year,ARC serving South Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1208.0,01R04,D25,IV
